report_date,Property,ADJUSTED_GROSS_REVENUE,ADMISSIONS,WIN_PER_CAPITA,CASINO_SQUARE_FOOTAGE,AVG_DAILY_WIN_PER_SQUARE_FOOT,TABLE_DROP,TABLE_REVENUE,TABLE_REVENUE_PERCENTAGE,NUMBER_OF_TABLE_GAMES,AVG_DAILY_WIN_PER_TABLE_GAME,SLOT_DROP,SLOT_COIN_IN,SLOT_REVENUE,SLOT_REVENUE_PERCENTAGE,NUMBER_OF_SLOT_MACHINES,AVG_DAILY_WIN_PER_SLOT_MACHINE,CITY_TAX,COUNTY_TAX,ENDOWMENT_FUND,STATE_MISC._FUND,STATE_TAX,COVID,BLACKJACK_TABLE_DROP,BLACKJACK_TABLE_REVENUE,BLACKJACK_TABLE_REVENUE_PERCENTAGE,BLACKJACK_NUMBER_OF_TABLE_GAMES,CRAPS_TABLE_DROP,CRAPS_TABLE_REVENUE,CRAPS_TABLE_REVENUE_PERCENTAGE,CRAPS_NUMBER_OF_TABLE_GAMES,ROULETTE_TABLE_DROP,ROULETTE_TABLE_REVENUE,ROULETTE_TABLE_REVENUE_PERCENTAGE,ROULETTE_NUMBER_OF_TABLE_GAMES,MISSISSIPPI_STUD_TABLE_DROP,MISSISSIPPI_STUD_TABLE_REVENUE,MISSISSIPPI_STUD_TABLE_REVENUE_PERCENTAGE,MISSISSIPPI_STUD_NUMBER_OF_TABLE_GAMES,ULTIMATE_TEXAS_HOLD'EM_TABLE_DROP,ULTIMATE_TEXAS_HOLD'EM_TABLE_REVENUE,ULTIMATE_TEXAS_HOLD'EM_TABLE_REVENUE_PERCENTAGE,ULTIMATE_TEXAS_HOLD'EM_NUMBER_OF_TABLE_GAMES,PAI_GOW_POKER_TABLE_DROP,PAI_GOW_POKER_TABLE_REVENUE,PAI_GOW_POKER_TABLE_REVENUE_PERCENTAGE,PAI_GOW_POKER_NUMBER_OF_TABLE_GAMES,ELECTRONIC_TABLE_GAMES_TABLE_DROP,ELECTRONIC_TABLE_GAMES_TABLE_REVENUE,ELECTRONIC_TABLE_GAMES_TABLE_REVENUE_PERCENTAGE,ELECTRONIC_TABLE_GAMES_NUMBER_OF_TABLE_GAMES,OTHER_TABLE_DROP,OTHER_TABLE_REVENUE,OTHER_TABLE_REVENUE_PERCENTAGE,OTHER_NUMBER_OF_TABLE_GAMES,POKER_TABLE_DROP,POKER_TABLE_REVENUE,POKER_TABLE_REVENUE_PERCENTAGE,POKER_NUMBER_OF_TABLE_GAMES,OTHER_SLOTS_SLOT_COIN_IN,OTHER_SLOTS_SLOT_REVENUE,OTHER_SLOTS_SLOT_REVENUE_PERCENTAGE,OTHER_SLOTS_NUMBER_OF_SLOT_MACHINES,0.01_SLOTS_SLOT_COIN_IN,0.01_SLOTS_SLOT_REVENUE,0.01_SLOTS_SLOT_REVENUE_PERCENTAGE,0.01_SLOTS_NUMBER_OF_SLOT_MACHINES,0.05_SLOTS_SLOT_COIN_IN,0.05_SLOTS_SLOT_REVENUE,0.05_SLOTS_SLOT_REVENUE_PERCENTAGE,0.05_SLOTS_NUMBER_OF_SLOT_MACHINES,0.25_SLOTS_SLOT_COIN_IN,0.25_SLOTS_SLOT_REVENUE,0.25_SLOTS_SLOT_REVENUE_PERCENTAGE,0.25_SLOTS_NUMBER_OF_SLOT_MACHINES,1.00_SLOTS_SLOT_COIN_IN,1.00_SLOTS_SLOT_REVENUE,1.00_SLOTS_SLOT_REVENUE_PERCENTAGE,1.00_SLOTS_NUMBER_OF_SLOT_MACHINES,2.00_SLOTS_SLOT_COIN_IN,2.00_SLOTS_SLOT_REVENUE,2.00_SLOTS_SLOT_REVENUE_PERCENTAGE,2.00_SLOTS_NUMBER_OF_SLOT_MACHINES,5.00_SLOTS_SLOT_COIN_IN,5.00_SLOTS_SLOT_REVENUE,5.00_SLOTS_SLOT_REVENUE_PERCENTAGE,5.00_SLOTS_NUMBER_OF_SLOT_MACHINES,10.00_SLOTS_SLOT_COIN_IN,10.00_SLOTS_SLOT_REVENUE,10.00_SLOTS_SLOT_REVENUE_PERCENTAGE,10.00_SLOTS_NUMBER_OF_SLOT_MACHINES,25.00_SLOTS_SLOT_COIN_IN,25.00_SLOTS_SLOT_REVENUE,25.00_SLOTS_SLOT_REVENUE_PERCENTAGE,25.00_SLOTS_NUMBER_OF_SLOT_MACHINES,100.00_SLOTS_SLOT_COIN_IN,100.00_SLOTS_SLOT_REVENUE,100.00_SLOTS_SLOT_REVENUE_PERCENTAGE,100.00_SLOTS_NUMBER_OF_SLOT_MACHINES
2017-07-01,Ameristar II,14709684,165361,89,39174,12,5449097,1082887,19.87,26,1344,90118600,142136596,13626797,9.59,1589,277,73548,73548,117677,29419,2531934,,2542542,533376,20.98,15,987668,262779,26.61,3,461772,132079,28.6,2,197089,71515,36.29,1,579928,137676,23.74,2,132566,42870,32.34,1,0,0,0.0,0,547532,97408,17.79,2,0,0,0.0,0,929828.0,100645.0,10.82,2.0,99164267.0,11142364.0,11.24,1319.0,1903496.0,143059.0,7.52,20.0,14604667.0,832211.0,5.7,130.0,21672731.0,1267601.0,5.85,95.0,901587.0,10817.0,1.2,4.0,2220470.0,173914.0,7.83,14.0,207600.0,5636.0,2.71,1.0,290550.0,25455.0,8.76,2.0,241400.0,23995.0,9.94,2.0
2017-07-01,Casino Queen - Marquette,2312255,24066,96,17514,4,384010,96213,25.05,8,388,16426433,22815821,2216042,9.71,522,137,11561,11561,18498,4624,134979,,152692,32415,21.23,4,39744,9321,23.45,1,0,0,0.0,0,74884,29239,39.05,1,69236,15141,21.87,1,0,0,0.0,0,47454,10097,21.28,1,0,0,0.0,0,0,0,0.0,0,33061.0,506.0,1.53,4.0,16163474.0,1734424.0,10.73,354.0,981904.0,77150.0,7.86,36.0,1766693.0,143598.0,8.13,62.0,3300099.0,219491.0,6.65,60.0,0.0,0.0,0.0,0.0,570590.0,41885.0,7.34,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,Catfish Bend Casino,3421253,42455,81,24353,5,1234562,294974,23.89,25,381,21898405,32881811,3126279,9.51,607,166,17106,17106,27370,6842,274248,,464072,75514,16.27,10,185851,34556,18.59,2,70399,12631,17.94,1,33103,15617,47.18,1,142279,45903,32.26,1,156244,33480,21.43,2,0,0,0.0,0,166638,61297,36.78,3,15976,15976,100.0,5,3936630.0,360630.0,9.16,7.0,19061614.0,2036497.0,10.68,454.0,1044078.0,76957.0,7.37,51.0,4624960.0,328825.0,7.11,71.0,3037659.0,189340.0,6.23,18.0,0.0,0.0,0.0,0.0,1176870.0,134030.0,11.39,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,Diamond Jo - Dubuque,5907186,81645,72,43495,4,2313399,449183,19.42,20,724,40258810,59245817,5458003,9.21,915,192,29536,29536,47257,11814,771434,,1227334,184982,15.07,11,397923,104173,26.18,2,161365,34691,21.5,2,0,0,0.0,0,0,0,0.0,0,64897,18701,28.82,1,0,0,0.0,0,461880,106636,23.09,4,0,0,0.0,0,417296.0,36905.0,8.84,9.0,40117630.0,4276403.0,10.66,715.0,5556165.0,303794.0,5.47,47.0,5979072.0,422480.0,7.07,82.0,5108864.0,304675.0,5.96,46.0,0.0,0.0,0.0,0.0,2066790.0,113746.0,5.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,Diamond Jo - Worth,7576179,102857,74,36363,7,2689113,577310,21.47,32,582,47040448,74391361,6998869,9.41,939,240,37881,37881,60609,15152,1105233,,1072175,176814,16.49,13,735231,102013,13.87,3,131331,43924,33.45,3,238336,47747,20.03,2,127757,43162,33.78,1,0,0,0.0,0,130782,26334,20.14,1,175480,59295,33.79,2,78021,78021,100.0,7,2444651.0,222621.0,9.11,41.0,50205213.0,5598554.0,11.15,714.0,3593154.0,207626.0,5.78,40.0,9528727.0,523998.0,5.5,82.0,4939226.0,234067.0,4.74,31.0,0.0,0.0,0.0,0.0,3680390.0,212003.0,5.76,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,Grand Falls Casino Resort,4941137,90335,55,37810,4,3054138,663571,21.73,35,612,26923680,43851435,4277566,9.75,782,176,24706,24706,39529,9882,578225,,1514031,219894,14.52,18,455206,102555,22.53,2,278160,89751,32.27,3,412569,96924,23.49,2,215973,68603,31.76,1,128291,35936,28.01,1,0,0,0.0,0,0,0,0.0,0,49908,49908,100.0,8,0.0,0.0,0.0,0.0,32546738.0,3426920.0,10.53,603.0,132257.0,8615.0,6.51,2.0,3145867.0,222465.0,7.07,100.0,5812188.0,504098.0,8.67,62.0,0.0,0.0,0.0,0.0,1682315.0,109758.0,6.52,11.0,266470.0,19910.0,7.47,2.0,265600.0,14200.0,5.35,2.0,0.0,0.0,0.0,0.0
2017-07-01,Hard Rock Casino,6715934,160371,42,44116,5,3322744,580698,17.48,31,604,36685560,62052010,6135236,9.89,889,223,33579,33579,53727,13432,933184,,1794401,244315,13.62,20,440773,66103,15.0,3,290161,58107,20.03,2,410045,124360,30.33,2,191466,47362,24.74,1,104772,9783,9.34,1,0,0,0.0,0,91126,30668,33.65,2,0,0,0.0,0,844530.0,28513.0,3.38,6.0,45243957.0,4968390.0,10.98,693.0,1860958.0,142370.0,7.65,36.0,3288128.0,254666.0,7.75,52.0,8528372.0,659794.0,7.74,77.0,0.0,0.0,0.0,0.0,1750775.0,80688.0,4.61,17.0,333690.0,5260.0,1.58,5.0,201600.0,6075.0,3.01,3.0,0.0,0.0,0.0,0.0
2017-07-01,Harrah's Council Bluffs Casino & Hotel,6594987,106972,62,21163,10,4902535,942654,19.23,22,1382,28875467,53183777,5652333,10.63,543,336,32975,32975,52760,13190,908993,,2184926,646573,29.59,12,670533,10653,1.59,1,515493,76792,14.9,2,87896,33971,38.65,1,0,0,0.0,0,184900,44682,24.17,1,1004986,66677,6.63,3,253801,63306,24.94,2,0,0,0.0,0,0.0,0.0,0.0,0.0,34897816.0,4136227.0,11.85,376.0,5241653.0,335873.0,6.41,49.0,5920948.0,456584.0,7.71,67.0,5234570.0,532639.0,10.18,38.0,0.0,0.0,0.0,0.0,1663615.0,154060.0,9.26,10.0,0.0,0.0,0.0,0.0,225175.0,36950.0,16.41,3.0,0.0,0.0,0.0,0.0
2017-07-01,Horseshoe Casino Council Bluffs,15839015,185247,86,59953,9,11335258,2655518,23.43,64,1338,73156486,123241108,13183497,10.7,1409,302,79195,79195,126712,31678,3014580,,3549246,670983,18.9,24,1832397,479214,26.15,5,917796,315353,34.36,5,609064,183811,30.18,2,528631,117173,22.17,2,140270,28473,20.3,2,0,0,0.0,0,3457414,560071,16.2,6,300440,300440,100.0,18,374717.0,10281.0,2.74,1.0,74037691.0,9244974.0,12.49,948.0,9711351.0,523242.0,5.39,75.0,18439586.0,1342491.0,7.28,203.0,17098048.0,1718499.0,10.05,149.0,0.0,0.0,0.0,0.0,2687715.0,260430.0,9.69,23.0,377950.0,68380.0,18.09,4.0,423150.0,5300.0,1.25,4.0,90900.0,9900.0,10.89,2.0
2017-07-01,Isle Casino Hotel Waterloo,7463325,95080,78,41178,6,3573507,717175,20.07,30,771,45393115,63879123,6746150,10.56,941,231,37316,37316,59706,14927,1082661,,1246670,234557,18.81,12,361579,70665,19.54,2,75677,12255,16.19,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,185520,21360,11.51,5,1704061,378338,22.2,10,0,0,0.0,0,1305867.0,131592.0,10.08,18.0,42511077.0,5063438.0,11.91,675.0,2191541.0,207412.0,9.46,46.0,5000106.0,386167.0,7.72,97.0,10124167.0,779311.0,7.7,87.0,52870.0,2020.0,3.82,1.0,1939185.0,167605.0,8.64,12.0,340060.0,13630.0,4.01,2.0,315850.0,5775.0,1.83,2.0,98400.0,10800.0,10.98,1.0
