report_date,property,sports_wagering_net_receipts,sports_wagering_handle,sports_wagering_payouts,retail_net_receipts,retail_handle,retail_payouts,internet_net_receipts,internet_handle,internet_payouts,state_tax
2019-08-01,Ameristar II,480650.41,1364722.8,884072.39,480650.41,1364722.8,884072.39,0.0,0.0,0.0,32443.9
2019-08-01,Casino Queen - Marquette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,Catfish Bend Casino,43603.15,142745.65,99142.5,43603.15,142745.65,99142.5,0.0,0.0,0.0,2943.21
2019-08-01,Diamond Jo - Dubuque,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,Diamond Jo - Worth,94178.75,140952.5,46773.75,94178.75,140952.5,46773.75,0.0,0.0,0.0,6357.07
2019-08-01,Grand Falls Casino Resort,22065.84,66349.21,44283.37,20212.87,24355.69,4142.82,1852.97,41993.52,40140.55,1490.06
2019-08-01,Hard Rock Casino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,Harrah's Council Bluffs Casino & Hotel,99121.03,199476.0,100354.97,99121.03,199476.0,100354.97,0.0,0.0,0.0,6051.55
2019-08-01,Horseshoe Casino Council Bluffs,183308.27,441273.05,257964.78,183308.27,441273.05,257964.78,0.0,0.0,0.0,13012.43
2019-08-01,Isle Casino Hotel Waterloo,158694.02,916348.82,757654.8,81788.0,291719.0,209931.0,76906.02,624629.82,547723.8,10711.85
2019-08-01,Isle of Capri - Bettendorf,151899.35,645039.6,493140.25,116322.0,380366.0,264044.0,35577.35,264673.6,229096.25,10253.21
2019-08-01,Lakeside Casino,63676.85,282054.0,218377.15,49766.0,116750.0,66984.0,13910.85,165304.0,151393.15,4298.19
2019-08-01,Prairie Meadows Racetrack & Casino,532770.62,3411885.27,2879114.65,295748.0,1132884.0,837136.0,237022.62,2279001.27,2041978.65,35962.02
2019-08-01,Q Casino,70779.4,120609.45,49830.05,70779.4,120609.45,49830.05,0.0,0.0,0.0,4777.61
2019-08-01,Rhythm City Casino,100202.79,352758.53,252555.74,84513.87,287649.37,203135.5,15688.92,65109.16,49420.24,
2019-08-01,Riverside Casino and Golf Resort,160856.05,492125.8,331269.75,117662.14,262390.8,144728.66,43193.91,229735.0,186541.09,
2019-08-01,Wild Rose - Clinton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
